food_id,food_name,price_dollars,kcal,nutrition_fat_g,nutrition_cholesterol_mg,nutrition_sodium_mg,nutrition_carbohydrates_g,nutrition_fiber_g,nutrition_sugar_g,nutrition_protein_g,food_category,locationid,location_name
-2146563387,Green Tea Latte 16oz,4.75,0,0,0,0,0,0,0,0,Hot Drinks,49044999,location_6
-2145987137,Beef Kofta Kebab Plate,12.00,534,18,69,974,59,6,5,32,Special,-1892414385,location_17
-2145547303,Brown Rice,2.00,126,1,0,6,26,2,0,3,Sides,-1102867959,location_27
-2145239298,Orange,0.75,54,0,0,1,14,2,10,1,Whole Fruit,-1249753709,location_26
-2142545297,Moros,2.00,118,2,0,565,21,2,0,3,Sides,-938669198,location_29
-2141756495,Chamango Smoothie,6.00,0,0,0,0,0,0,0,0,Blended,650749887,location_5
-2141373099,Cinnamon Roll,4.00,760,44,0,510,82,6,21,10,Special Donuts,1669636684,location_7
-2136827910,Blueberry Bagel,1.95,230,1,0,330,48,2,7,7,Bagels,1832347749,location_20
-2136729462,Carnitas with Salsa Verde Pizza,9.50,897,34,107,1238,103,12,4,51,Special Pizza,-754644643,location_21
-2135816663,Agua Fresca Sweet Tea,2.50,0,0,0,0,0,0,0,0,Agua Fresca Special,756003557,location_32
-2133787468,White Chocolate Macadamia Cookie,2.25,400,23,35,190,47,1,28,5,Cookies,-163733855,location_28
-2131870425,Hot Chocolate 16oz,4.00,0,0,0,0,0,0,0,0,Hot Drinks,620643422,location_22
-2130699346,Tofu Sisig Fries,7.50,655,44,8,1361,53,6,7,15,Filipino Street Food,381115569,location_23
-2128771443,White Peach,1.50,0,0,0,0,0,0,0,0,Whole Fruit,1974149366,location_11
-2128190189,Agua Fresca Mango,2.50,118,0,0,542,29,1,28,0,Agua Fresca Special,958958073,location_2
-2124989658,Philly Cheesesteak Sandwich,10.00,618,30,72,2237,60,6,6,31,Sandwiches,1056019726,location_34
-2124303687,Korean Beef Tacos,6.00,432,11,66,1686,46,3,17,29,Korean Street Food,381115569,location_23
-2124025321,Chocolate Chip Pancakes,6.00,309,9,0,553,55,1,18,6,Sweets,-1249753709,location_26
-2123394916,Veg Sausage Cheese Croissant,7.50,665,47,249,1477,37,2,4,29,Breakfast Sandwiches,-289919959,location_1
-2122096138,London Fog 16oz,4.95,0,0,0,0,0,0,0,0,Hot Drinks,650749887,location_5
-2121422809,Acai Bowl,9.50,449,8,0,192,94,10,54,6,Acai Bowl,1832347749,location_20
-2120479991,Philly Style Pizza,7.75,785,32,87,2760,84,1,7,43,Personal Pizzas,-1781966175,location_15
-2120340024,Tater Tots,3.00,247,16,0,56,30,2,7,2,Brunch a la Carte,-1249753709,location_26
-2118896265,Vanilla Gooseberry Rhubarb Cake,3.00,440,24,50,240,52,1,29,5,Special Sweets,1067264201,location_44
-2118644903,Snickerdoodle Pancakes,6.00,298,3,0,579,65,1,29,4,Brunch Specials,-289919959,location_1
-2117759932,Spicy Tuna Roll,9.75,461,10,30,1379,64,3,10,25,Market Kitchen Grab n Go,-1151113883,location_16
-2113383269,Cornbread,3.00,135,3,36,527,21,1,4,6,Sides,1974149366,location_11
-2112209604,Fair Trade Dark Roast 16 oz,3.00,0,0,0,0,0,0,0,0,Hot Drinks,1669636684,location_7
-2111760258,Sunrise Roll,10.00,435,12,0,1659,68,5,16,12,Sushi,-707446470,location_10
-2108026234,Pineapple Mango Smoothie,6.75,136,1,0,15,35,3,26,2,Smoothies,-1151113883,location_16
-2106692064,Agua Fresca Clementine,2.50,118,0,0,542,29,0,29,0,Agua Fresca Special,958958073,location_2
-2105846463,Scrambled Egg Whites,2.50,68,3,0,140,1,0,0,9,Brunch a la Carte,-289919959,location_1
-2105701906,Caramel  Macchiato 16oz,5.45,0,0,0,0,0,0,0,0,Hot Espresso,-1671998391,location_43
-2102407082,Agua Fresca Clementine,2.50,118,0,0,542,29,0,29,0,Agua Fresca Special,1856869912,location_14
-2100187215,Egg Breakfast Sandwich,4.00,343,20,237,455,24,4,6,17,Sandwiches,-2120138697,location_9
-2097743820,Apple Pie Smoothie,6.50,257,0,0,109,57,7,37,11,Smoothies,1832347749,location_20
-2094912896,Raised Donut Maple,2.75,430,14,0,340,71,1,32,5,Special Donuts,620643422,location_22
-2093836331,Hot Tea 16oz,3.25,0,0,0,0,0,0,0,0,Hot Drinks,572697095,location_42
-2093208831,Margherita Pizza,7.00,471,12,16,1437,76,3,13,16,Personal Pizzas,-1781966175,location_15
-2090490211,Fountain Drink,2.50,0,0,0,0,0,0,0,0,Beverages,183534170,location_18
-2090360265,Caramel  Macchiato 16oz,5.45,0,0,0,0,0,0,0,0,Hot Espresso,49044999,location_6
-2089376373,Ensenada Style Crispy Fish Burrito,10.00,685,26,49,1942,108,9,8,32,Burritos,-438874000,location_3
-2083300984,Beef Kofta Fries,11.50,950,66,96,5229,58,7,6,31,Fries,-920080626,location_13
-2079570983,Texas BBQ Double Cheeseburger,14.00,1460,94,195,2132,93,2,19,56,Sandwich Plates,-1249753709,location_26
-2074208514,Rasta Pasta with Vegetables,7.00,579,31,0,3348,62,6,5,12,Plates,-938669198,location_29
-2071589857,Oatmeal Apple Pancakes,6.00,360,12,60,566,52,4,27,8,Breakfast Specials,-289919959,location_1
-2071046722,Cheese Quesadilla,5.25,605,34,82,1229,49,5,1,29,Quesadillas,-438874000,location_3
-2067085049,Agua Fresca Clementine,2.50,118,0,0,542,29,0,29,0,Agua Fresca Special,-1347840188,location_30
-2066108655,Yellow Peach,1.50,0,0,0,0,0,0,0,0,Whole Fruit,1974149366,location_11
-2062249541,Crondy Glazed,4.00,670,48,15,200,56,2,24,5,Special Donuts,620643422,location_22
-2061019591,Green Tea Latte 16oz,4.75,387,19,0,216,51,0,26,2,Hot Drinks,1832347749,location_20
-2060759832,Black Iced Tea,3.00,0,0,0,0,0,0,0,0,Iced Drinks,1832347749,location_20
-2055919582,Hunky Chunky Apple Pie,4.50,420,16,30,400,64,1,43,4,Pastries,572697095,location_42
-2055219654,Spring Garden Salad,7.25,370,17,0,276,51,5,31,4,Salad,-1201978982,location_37
-2054781165,Chocolate Chunk Cookie,2.25,370,18,30,210,52,2,31,4,Cookies,-2144846482,location_4
-2053307307,White Peach,1.50,0,0,0,0,0,0,0,0,Whole Fruit,1856869912,location_14
-2049983719,Caramel Macchiato Iced,5.50,0,0,0,0,0,0,0,0,Iced Drinks,-1151113883,location_16
-2049114337,Honey Walnut Shrimp Special,8.50,316,20,106,706,20,2,11,15,Special Fired,958958073,location_2
-2048496934,Banana,0.75,110,0,0,0,28,3,15,1,Whole Fruit,-2120138697,location_9
-2046796868,Smoothie Mango,6.00,0,0,0,0,0,0,0,0,Blended,650749887,location_5
-2042947493,White Chocolate Macadamia Cookie,2.25,400,23,35,190,47,1,28,5,Dessert,-1347840188,location_30
-2039915181,Pollo Adobado Quesadilla,8.50,637,27,136,1186,58,4,1,37,Quesadillas,-438874000,location_3
-2039069835,Toasted Cheese,6.50,458,22,56,974,44,1,7,22,Hot Sandwiches,-163733855,location_28
-2036969729,Blended Green Tea Latte,6.00,0,0,0,0,0,0,0,0,Blended,620643422,location_22
-2033334761,California Caprese Sandwich,9.00,500,29,45,844,41,7,5,23,Deli Sandwiches,-538565232,location_33
-2032240505,Vanilla Waffle Cup Sundae,5.50,449,12,33,238,80,2,44,6,Shakes and Ice Cream,-289919959,location_1
-2031026577,Thai Milk Tea with Boba,5.75,177,4,14,87,31,0,31,6,Iced Drinks,650749887,location_5
-2029683040,London Fog Iced,5.00,0,0,0,0,0,0,0,0,Iced Drinks,1832347749,location_20
-2023700691,White Chocolate Macadamia Cookie,2.25,400,23,35,190,47,1,28,5,Cookies,572697095,location_42
-2020303027,White Mocha 16oz,5.25,0,0,0,0,0,0,0,0,Hot Espresso,572697095,location_42
-2019589271,Curly Fries,3.00,292,14,0,595,37,4,2,4,Sides,1856869912,location_14
-2018886044,Breakfast Burrito Veggie Sausage,8.00,890,43,242,1903,92,16,8,44,Burritos,-2120138697,location_9
-2018215122,Green Tea Latte 16oz,4.75,0,0,0,0,0,0,0,0,Hot Drinks,-1671998391,location_43
-2011060610,Tuna Sandwich,8.00,365,11,33,660,39,3,5,28,Deli Sandwiches,1872902338,location_35
-2010285174,Black Dal Maharashtra,3.00,283,23,7,901,16,6,3,6,Sides,1098641100,location_36
-2009845853,Banana,0.75,131,0,0,2,34,4,18,2,Whole Fruit,-1709576039,location_24
-2007984915,Raised Butter Crumb Donut,4.00,440,19,10,390,62,1,21,6,Special Donuts,1832347749,location_20
-2000631349,Tater Tots,3.00,247,16,0,56,30,2,7,2,Breakfast a la Carte,-438874000,location_3
