window_start,window_end,cluster,cluster_name,size
2024-01-01,2024-01-14,0,moderate,1252
2024-01-01,2024-01-14,1,mixed,6539
2024-01-01,2024-01-14,2,risky,2053
2024-01-01,2024-01-14,3,favorable,3592
2024-01-15,2024-01-28,0,moderate,6988
2024-01-15,2024-01-28,1,mixed,3462
2024-01-15,2024-01-28,2,risky,1103
2024-01-15,2024-01-28,3,favorable,3093
2024-01-29,2024-02-11,0,moderate,3100
2024-01-29,2024-02-11,1,mixed,3359
2024-01-29,2024-02-11,2,risky,1145
2024-01-29,2024-02-11,3,favorable,6907
2024-02-12,2024-02-25,0,moderate,7087
2024-02-12,2024-02-25,1,mixed,3367
2024-02-12,2024-02-25,2,risky,1146
2024-02-12,2024-02-25,3,favorable,2794
2024-02-26,2024-03-10,0,moderate,3285
2024-02-26,2024-03-10,1,mixed,6994
2024-02-26,2024-03-10,2,risky,1199
2024-02-26,2024-03-10,3,favorable,2984
2024-03-11,2024-03-24,0,moderate,4230
2024-03-11,2024-03-24,1,mixed,3917
2024-03-11,2024-03-24,2,risky,2446
2024-03-11,2024-03-24,3,favorable,3338
2024-03-25,2024-04-07,0,moderate,1068
2024-03-25,2024-04-07,1,mixed,3740
2024-03-25,2024-04-07,2,risky,5700
2024-03-25,2024-04-07,3,favorable,2316
2024-04-08,2024-04-21,0,moderate,3481
2024-04-08,2024-04-21,1,mixed,6590
2024-04-08,2024-04-21,2,risky,943
2024-04-08,2024-04-21,3,favorable,3204
2024-04-22,2024-05-05,0,moderate,963
2024-04-22,2024-05-05,1,mixed,6516
2024-04-22,2024-05-05,2,risky,3490
2024-04-22,2024-05-05,3,favorable,3193
2024-05-06,2024-05-19,0,moderate,3562
2024-05-06,2024-05-19,1,mixed,996
2024-05-06,2024-05-19,2,risky,2841
2024-05-06,2024-05-19,3,favorable,6288
