food_id,food_name,price_dollars,kcal,nutrition_fat_g,nutrition_cholesterol_mg,nutrition_sodium_mg,nutrition_carbohydrates_g,nutrition_fiber_g,nutrition_sugar_g,nutrition_protein_g,food_category,locationid,location_name
-2123454,Ice Cream,11.46,672,51,105,1740,100,2,61,59,Desserts,46,location_46
-2123453,Orange,16.07,312,58,32,1404,18,6,15,21,Whole Fruit,97,location_97
-2123452,Quinoa Salad,16.58,646,62,93,557,78,7,17,37,Salads,84,location_84
-2123451,Minestrone,11.79,160,78,135,1682,24,9,54,0,Soups,26,location_26
-2123450,Orange,17.61,194,35,24,169,124,8,88,43,Whole Fruit,28,location_28
-2123449,Pancakes,3.21,1024,0,137,710,50,7,20,13,Breakfast,71,location_71
-2123448,Greek Salad,14.88,767,75,31,686,20,14,86,43,Salads,4,location_4
-2123447,Pizza Slice,14.29,742,80,128,967,11,11,58,55,Fast Food,96,location_96
-2123446,Cheeseburger,17.66,854,31,120,950,119,10,25,44,Fast Food,51,location_51
-2123445,Garden Salad,6.53,957,20,145,514,84,10,32,12,Salads,61,location_61
-2123444,Grilled Salmon,7.22,888,16,108,1346,150,3,27,31,Special,18,location_18
-2123443,Coleslaw,19.57,1094,75,123,844,46,4,53,24,Sides,52,location_52
-2123442,Lemonade,5.35,734,20,99,1461,119,10,34,32,Beverages,54,location_54
-2123441,Clam Chowder,12.52,1015,27,53,1565,84,2,22,52,Soups,1,location_1
-2123440,Steak Dinner,16.65,187,43,133,1137,58,5,11,19,Special,33,location_33
-2123439,Coffee,10.95,896,5,119,1882,62,6,20,51,Beverages,86,location_86
-2123438,Fruit Tart,11.95,764,79,69,191,45,2,81,33,Desserts,32,location_32
-2123437,Mashed Potatoes,14.14,727,25,112,1395,125,2,48,16,Sides,54,location_54
-2123436,Mashed Potatoes,18.62,734,66,95,1951,36,1,16,5,Sides,30,location_30
-2123435,Caesar Salad,17.19,774,80,121,639,62,10,18,27,Salads,7,location_7
-2123434,Coffee,11.21,971,24,81,1522,137,9,82,2,Beverages,77,location_77
-2123433,Smoothie,7.1,109,14,113,1327,116,12,89,35,Beverages,55,location_55
-2123432,Tacos,5.35,190,55,96,1006,20,14,44,30,Special,28,location_28
-2123431,Granola,2.38,819,62,115,176,10,4,87,6,Breakfast,35,location_35
-2123430,Grilled Salmon,2.15,1054,17,138,832,64,1,20,19,Special,100,location_100
-2123429,Minestrone,15.75,323,62,83,1282,97,10,5,11,Soups,68,location_68
-2123428,Smoothie,17.55,405,77,39,1110,115,4,71,24,Beverages,39,location_39
-2123427,Grapes,9.97,183,42,133,926,124,15,15,36,Whole Fruit,59,location_59
-2123426,Granola,5.23,507,23,29,605,134,4,38,59,Breakfast,98,location_98
-2123425,Fried Chicken,15.97,992,14,59,469,104,0,1,18,Fast Food,59,location_59
-2123424,Doughnut,16.83,523,79,13,1026,105,2,28,5,Desserts,25,location_25
-2123423,Tacos,8.83,803,12,51,335,123,0,25,30,Special,100,location_100
-2123422,Grapes,4.9,1184,74,132,54,83,12,7,15,Whole Fruit,42,location_42
-2123421,Steak Dinner,14.83,982,23,61,258,39,0,21,47,Special,79,location_79
-2123420,Avocado Toast,5.97,656,78,86,1972,75,5,24,50,Breakfast,98,location_98
-2123419,Avocado Toast,6.44,436,75,27,912,16,1,79,49,Breakfast,88,location_88
-2123418,Quinoa Salad,7.78,1047,1,128,749,39,8,42,33,Salads,88,location_88
-2123417,Green Tea,9.27,770,68,105,800,64,12,30,23,Beverages,100,location_100
-2123416,Orange,17.84,731,35,26,495,92,11,22,52,Whole Fruit,13,location_13
-2123415,Rice Pilaf,9.1,564,41,36,1505,25,3,92,46,Sides,41,location_41
-2123414,Tomato Soup,17.63,181,45,115,212,104,4,59,26,Soups,30,location_30
-2123413,Greek Salad,11.44,567,45,143,51,121,1,31,54,Salads,12,location_12
-2123412,Sushi Roll,6.11,376,19,97,819,115,11,16,8,Special,99,location_99
-2123411,Fried Chicken,17.06,1029,24,102,794,3,1,25,22,Fast Food,44,location_44
-2123410,Green Tea,13.75,233,16,136,1504,129,6,99,0,Beverages,41,location_41
-2123409,Steak Dinner,6.26,463,55,69,1143,106,14,63,23,Special,98,location_98
-2123408,Green Tea,4.99,276,24,0,654,38,1,59,48,Beverages,29,location_29
-2123407,Omelette,7.85,395,78,128,316,93,13,25,50,Breakfast,67,location_67
-2123406,Hot Dog,18.88,648,34,88,1288,56,1,53,34,Fast Food,97,location_97
-2123405,Chicken Noodle Soup,3.39,327,11,43,555,81,6,79,2,Soups,99,location_99
-2123404,Tomato Soup,5.69,960,44,42,821,141,8,39,51,Soups,74,location_74
-2123403,Doughnut,2.5,646,39,45,664,145,5,74,14,Desserts,89,location_89
-2123402,Rice Pilaf,10.63,1015,7,28,1107,107,9,77,31,Sides,40,location_40
-2123401,Rice Pilaf,16.59,485,64,16,649,60,10,92,41,Sides,74,location_74
-2123400,Coleslaw,12.14,401,32,34,368,139,14,71,9,Sides,40,location_40
-2123399,Doughnut,10.2,618,57,114,291,103,13,62,58,Desserts,88,location_88
-2123398,Orange,16.25,413,7,73,810,133,0,95,12,Whole Fruit,67,location_67
-2123397,Bagel with Cream Cheese,16.01,451,54,121,1456,51,15,60,12,Breakfast,8,location_8
-2123396,Lentil Soup,17.9,924,1,24,116,26,13,62,20,Soups,43,location_43
-2123395,Garlic Bread,4.26,200,10,7,512,79,10,66,21,Sides,96,location_96
-2123394,Fruit Tart,3.73,1117,53,83,1400,133,6,56,33,Desserts,31,location_31
-2123393,Lentil Soup,4.03,225,62,106,1896,23,12,22,18,Soups,81,location_81
-2123392,Mashed Potatoes,12.94,56,66,82,1074,45,15,60,23,Sides,43,location_43
-2123391,Minestrone,5.52,709,60,75,1629,20,15,0,10,Soups,43,location_43
-2123390,Fruit Tart,12.03,1083,59,11,11,83,8,88,55,Desserts,47,location_47
-2123389,Minestrone,13.33,1009,79,119,1052,24,9,31,11,Soups,22,location_22
-2123388,Rice Pilaf,14.78,958,78,51,942,69,10,54,7,Sides,54,location_54
-2123387,Steamed Vegetables,15.14,379,80,44,1780,93,4,12,9,Sides,26,location_26
-2123386,Minestrone,17.61,304,6,18,999,143,10,97,38,Soups,20,location_20
-2123385,Brownie,1.91,298,33,5,555,61,8,2,33,Desserts,45,location_45
-2123384,Lemonade,17.07,535,75,34,995,26,3,10,36,Beverages,9,location_9
-2123383,Grapes,12.72,271,70,139,839,132,4,81,25,Whole Fruit,61,location_61
-2123382,Smoothie,10.04,770,13,8,1681,119,5,76,7,Beverages,48,location_48
-2123381,Tomato Soup,9.82,537,31,33,81,146,8,34,6,Soups,26,location_26
-2123380,Cheeseburger,16.89,520,61,111,50,30,3,42,50,Fast Food,27,location_27
-2123379,Cheeseburger,9.63,243,38,139,218,138,11,74,53,Fast Food,63,location_63
-2123378,Ice Cream,3.19,965,19,135,220,59,5,19,20,Desserts,91,location_91
-2123377,Doughnut,13.4,178,25,37,478,140,0,63,42,Desserts,80,location_80
-2123376,Chicken Noodle Soup,7.02,905,38,63,1918,111,11,94,24,Soups,46,location_46
-2123375,Strawberries,5.97,1104,66,150,358,38,2,57,29,Whole Fruit,34,location_34
-2123374,Mashed Potatoes,17.12,168,31,11,176,120,5,17,48,Sides,22,location_22
-2123373,Ice Cream,14.2,903,60,71,457,100,15,0,35,Desserts,43,location_43
-2123372,Green Tea,19.76,834,40,89,1391,82,0,97,8,Beverages,84,location_84
-2123371,Omelette,8.68,536,25,12,385,4,5,61,1,Breakfast,30,location_30
-2123370,Caesar Salad,15.58,830,43,145,750,70,15,32,43,Salads,2,location_2
-2123369,Green Tea,13.66,1166,38,124,1437,85,15,77,43,Beverages,73,location_73
-2123368,Rice Pilaf,3.97,732,49,104,564,33,13,32,12,Sides,11,location_11
-2123367,Smoothie,13.62,194,29,72,568,65,5,18,35,Beverages,32,location_32
-2123366,Smoothie,3.64,540,27,13,1167,25,9,58,7,Beverages,92,location_92
-2123365,Pizza Slice,18.18,570,22,46,1219,85,12,34,21,Fast Food,74,location_74
-2123364,Coleslaw,13.75,120,42,87,1903,140,9,26,56,Sides,45,location_45
-2123363,Cheeseburger,14.32,534,29,103,166,126,7,96,10,Fast Food,69,location_69
-2123362,Quinoa Salad,7.41,606,76,149,1942,19,10,74,28,Salads,35,location_35
