userid,avg_score,std_score,total_items,distinct_foods,cluster
-2147142880,1.0,0.0,3,3,2
-2147142387,1.0,0.0,1,1,2
-2146456870,37.5,51.61879502661797,2,2,1
-2146434464,16.0,21.712018899814048,28,9,1
-2146079136,16.235294117647058,23.644580276896185,27,14,0
-2145671731,40.5,43.27008204290812,12,2,1
-2145577607,31.16,30.50775857603002,57,20,0
-2145043077,10.37037037037037,11.516370115048433,49,3,2
-2144889667,23.5,29.47993668016719,20,15,0
-2144883010,74.0,0.0,1,1,3
-2144538758,1.0,0.0,1,1,2
-2143963794,31.514285714285716,34.82086209407788,57,19,0
-2143480492,1.0,0.0,1,1,2
-2141652197,52.61538461538461,26.591159124598978,15,6,1
-2141565810,12.7,22.34239822894332,50,27,0
-2141246602,41.84615384615385,28.86706934047328,29,11,1
-2140988864,25.428571428571427,33.51627454447554,24,8,1
-2140393231,37.5,51.61879502661797,2,2,1
-2140054640,28.0,38.18376618407357,2,2,1
-2139489868,11.5,19.144189719076646,16,7,1
-2139208169,1.0,0.0,4,1,2
-2139081342,74.0,0.0,1,1,3
-2139046195,37.535714285714285,33.05380814375604,38,22,0
-2138879557,34.0,34.37376260399137,12,8,1
-2138742295,1.0,0.0,1,1,2
-2138669660,14.866666666666667,25.40772286042929,21,14,0
-2138177730,13.666666666666666,21.93931022920578,5,3,1
-2138152030,31.642857142857142,32.09986135330025,26,11,1
-2137886665,71.33333333333333,4.618802153517004,5,2,3
-2137878781,24.625,24.28366587999902,12,8,1
-2137544538,17.0,21.908902300206645,9,3,1
-2137443139,5.714285714285714,8.459989868281674,7,6,2
-2137253884,9.571428571428571,3.6313651960128146,14,3,2
-2137043581,35.5,32.88942513505345,10,7,1
-2136987517,33.1,26.4670908214659,50,27,0
-2136226383,20.4,26.437347320284104,14,5,1
-2136198212,24.75,26.862303202319293,6,4,1
-2136145912,1.0,0.0,6,4,2
-2135847623,28.428571428571427,20.606286604311986,19,5,1
-2135732816,1.0,0.0,5,2,2
-2135600934,20.0,31.10198278781167,4,4,1
-2134483335,36.333333333333336,30.946679461566948,16,12,1
-2133464583,13.5,13.693063937629153,6,5,2
-2132231173,21.0,28.284271247461902,2,2,1
-2132207556,40.083333333333336,29.124991871503614,14,11,1
-2132160293,23.11111111111111,33.292057778261636,11,5,1
-2131745678,15.0,28.0,6,3,1
-2130353915,28.3125,23.92409872910576,26,15,0
-2129648906,13.545454545454545,22.602493828618275,13,9,1
-2129365859,10.333333333333334,16.165807537309522,3,3,2
-2129301072,74.0,0.0,4,2,3
-2128515054,45.0,31.801467471381464,6,4,1
-2128167721,27.333333333333332,10.295630140986999,11,5,2
-2127831714,24.133333333333333,23.796358264798982,29,10,1
-2127366273,9.5,15.359036428109675,8,5,2
-2127314563,27.857142857142858,29.27130888446097,9,7,1
-2126879325,5.0,6.928203230275509,3,3,2
-2126874932,29.2,34.18061271706939,17,9,1
-2126727005,1.0,0.0,1,1,2
-2125891446,23.875,32.682181689722,10,8,1
-2125582706,11.5,23.03258561256204,12,9,1
-2125567420,20.2,17.527121840165314,5,3,2
-2125497433,25.333333333333332,42.146569650842686,5,3,1
-2125461909,37.36363636363637,33.29313593569852,28,11,1
-2124862781,18.714285714285715,23.71858824996607,7,3,1
-2124506446,1.0,0.0,4,4,2
-2124356278,12.0,0.0,1,1,2
-2123364390,40.875,33.93033829985868,14,5,1
-2123278188,18.2,24.52410200083519,24,19,0
-2123202075,4.045454545454546,11.882268793808347,36,13,0
-2123190379,28.375,32.84568899740552,16,8,1
-2123129298,10.125,25.809397513308987,10,6,1
